metric,value,year,method,n_clusters
correlation,0.01644045573828079,2014,medoids,4
nrmse dc,7.63390155400628,2014,medoids,4
rae dc,11.782061498431299,2014,medoids,4
correlation,0.025101029851723095,2015,medoids,4
nrmse dc,8.990960476455735,2015,medoids,4
rae dc,15.866455463940468,2015,medoids,4
correlation,0.027949786700076196,2016,medoids,4
nrmse dc,9.121127956286022,2016,medoids,4
rae dc,18.427100247737105,2016,medoids,4
correlation,0.016039512246719217,2008,medoids,8
nrmse dc,2.8502913319847454,2008,medoids,8
rae dc,5.674130444139443,2008,medoids,8
correlation,0.013914344498477579,2009,medoids,8
nrmse dc,3.6175708747071114,2009,medoids,8
rae dc,6.274432968211134,2009,medoids,8
correlation,0.0034781542856322143,2010,medoids,8
nrmse dc,4.101118685388182,2010,medoids,8
rae dc,9.607099510610032,2010,medoids,8
correlation,0.01174111997446281,2011,medoids,8
nrmse dc,4.867583606562438,2011,medoids,8
rae dc,8.532831927978789,2011,medoids,8
correlation,0.009515463492522155,2012,medoids,8
nrmse dc,4.566835030861357,2012,medoids,8
rae dc,9.109447347886062,2012,medoids,8
correlation,0.01281581345053658,2013,medoids,8
nrmse dc,5.051611468128644,2013,medoids,8
rae dc,9.166685362111746,2013,medoids,8
correlation,0.0060872363224637365,2014,medoids,8
nrmse dc,7.172360832955385,2014,medoids,8
rae dc,11.946584842427255,2014,medoids,8
correlation,0.01779080486546643,2015,medoids,8
nrmse dc,8.90886076908417,2015,medoids,8
rae dc,17.692455176509032,2015,medoids,8
correlation,0.01646703954960819,2016,medoids,8
nrmse dc,8.297384396947232,2016,medoids,8
rae dc,17.97055491700443,2016,medoids,8
correlation,0.0040229095209350545,2008,medoids,16
nrmse dc,1.9897271720988752,2008,medoids,16
rae dc,3.2135827609218843,2008,medoids,16
correlation,0.008223072255434283,2009,medoids,16
nrmse dc,3.120623487800115,2009,medoids,16
rae dc,5.88947861419119,2009,medoids,16
correlation,0.01138294896129255,2010,medoids,16
nrmse dc,4.535775952859119,2010,medoids,16
rae dc,12.221569467631499,2010,medoids,16
correlation,0.006591604454743938,2011,medoids,16
nrmse dc,4.328041065843827,2011,medoids,16
rae dc,7.323450681159076,2011,medoids,16
correlation,0.008577365199555135,2012,medoids,16
nrmse dc,4.368907182877481,2012,medoids,16
rae dc,8.987474474342518,2012,medoids,16
correlation,0.012348137749027507,2013,medoids,16
nrmse dc,4.375718550325898,2013,medoids,16
rae dc,7.785538016237443,2013,medoids,16
correlation,0.012321597710276041,2014,medoids,16
nrmse dc,6.7576853365311464,2014,medoids,16
rae dc,12.380524982282573,2014,medoids,16
correlation,0.021696233895651822,2015,medoids,16
nrmse dc,8.280369377433075,2015,medoids,16
rae dc,16.91162694032255,2015,medoids,16
correlation,0.023830928672071445,2016,medoids,16
nrmse dc,8.467490727816843,2016,medoids,16
rae dc,19.520109363001797,2016,medoids,16
correlation,0.007911855511333036,2008,medoids,32
nrmse dc,1.734016440423605,2008,medoids,32
rae dc,3.2846354275310463,2008,medoids,32
correlation,0.011908194294912744,2009,medoids,32
nrmse dc,3.1768356197491037,2009,medoids,32
rae dc,5.18734882315949,2009,medoids,32
correlation,0.009315184957853698,2010,medoids,32
nrmse dc,4.646927943199924,2010,medoids,32
rae dc,11.471029130051173,2010,medoids,32
correlation,0.008100895798100027,2011,medoids,32
nrmse dc,3.9124179172725326,2011,medoids,32
rae dc,7.150358884266932,2011,medoids,32
correlation,0.008224510147417688,2012,medoids,32
nrmse dc,4.448816087657665,2012,medoids,32
rae dc,9.27749734656637,2012,medoids,32
correlation,0.016159937312164623,2013,medoids,32
nrmse dc,4.141199197955303,2013,medoids,32
rae dc,7.612130472486416,2013,medoids,32
correlation,0.010596883977804783,2014,medoids,32
nrmse dc,6.351585903773859,2014,medoids,32
rae dc,11.68081481686808,2014,medoids,32
correlation,0.025508033458788937,2015,medoids,32
nrmse dc,7.954934384180337,2015,medoids,32
rae dc,16.733323137296765,2015,medoids,32
correlation,0.024184268142930693,2016,medoids,32
nrmse dc,8.42313131347756,2016,medoids,32
rae dc,18.81626496118864,2016,medoids,32
correlation,0.0073797973273813655,2008,medoids,48
nrmse dc,1.5579930423871122,2008,medoids,48
rae dc,2.884768290076792,2008,medoids,48
correlation,0.005254629579139729,2009,medoids,48
nrmse dc,3.0649061215769655,2009,medoids,48
rae dc,5.313167135614786,2009,medoids,48
correlation,0.005181560633705636,2010,medoids,48
nrmse dc,4.680270795002827,2010,medoids,48
rae dc,11.693783243879947,2010,medoids,48
correlation,0.0030814050551249603,2011,medoids,48
nrmse dc,3.716749182165891,2011,medoids,48
rae dc,6.407048107125282,2011,medoids,48
correlation,0.0009955856013611857,2012,medoids,48
nrmse dc,4.514435095555046,2012,medoids,48
rae dc,9.732204153835234,2012,medoids,48
correlation,0.0071112253660639,2013,medoids,48
nrmse dc,3.929607851785123,2013,medoids,48
rae dc,6.86586511336284,2013,medoids,48
correlation,0.0030598677402147536,2014,medoids,48
nrmse dc,6.2911691378186765,2014,medoids,48
rae dc,11.952501799729722,2014,medoids,48
correlation,0.016459321512688214,2015,medoids,48
nrmse dc,7.672358761810524,2015,medoids,48
rae dc,15.990544981801852,2015,medoids,48
correlation,0.015135556196829972,2016,medoids,48
nrmse dc,8.444531030340501,2016,medoids,48
rae dc,18.927491214705206,2016,medoids,48
correlation,0.007675960784267392,2008,medoids,61
nrmse dc,1.498681426088951,2008,medoids,61
rae dc,2.3047263912733174,2008,medoids,61
correlation,0.004313012132778793,2009,medoids,61
nrmse dc,3.452311933027914,2009,medoids,61
rae dc,7.406409471571106,2009,medoids,61
correlation,0.006123178080066571,2010,medoids,61
nrmse dc,5.037949226388784,2010,medoids,61
rae dc,13.051741851606224,2010,medoids,61
correlation,0.003944585111944325,2011,medoids,61
nrmse dc,3.9224457621951294,2011,medoids,61
rae dc,7.467708263760887,2011,medoids,61
correlation,0.0036728571847334615,2012,medoids,61
nrmse dc,5.117964874392257,2012,medoids,61
rae dc,12.05381106306361,2012,medoids,61
correlation,0.004262569980013471,2013,medoids,61
nrmse dc,4.096640465841613,2013,medoids,61
rae dc,8.128920083494021,2013,medoids,61
correlation,0.0035140960432350488,2014,medoids,61
nrmse dc,6.803264339097166,2014,medoids,61
rae dc,14.217014261469478,2014,medoids,61
correlation,0.013610666126637786,2015,medoids,61
nrmse dc,7.3842519798966775,2015,medoids,61
rae dc,14.419732898366037,2015,medoids,61
correlation,0.013294739105383183,2016,medoids,61
nrmse dc,8.958980182223085,2016,medoids,61
rae dc,20.98966021142471,2016,medoids,61
correlation,0.09369436722588265,2008,medoids,1
nrmse dc,12.691765858903375,2008,medoids,1
rae dc,6.289713132345845,2008,medoids,1
correlation,0.09905721069889606,2009,medoids,1
nrmse dc,12.601845715234576,2009,medoids,1
rae dc,6.899275525193642,2009,medoids,1
correlation,0.10187403713378673,2010,medoids,1
nrmse dc,12.474761931231528,2010,medoids,1
rae dc,8.497259101082411,2010,medoids,1
correlation,0.09742574289820571,2011,medoids,1
nrmse dc,13.723135916971907,2011,medoids,1
rae dc,9.10836831222104,2011,medoids,1
correlation,0.09941150364301692,2012,medoids,1
nrmse dc,12.971943218201174,2012,medoids,1
rae dc,8.103338837311362,2012,medoids,1
correlation,0.10240141896873715,2013,medoids,1
nrmse dc,13.908495324513249,2013,medoids,1
rae dc,9.735872248557925,2013,medoids,1
correlation,0.10315573615373781,2014,medoids,1
nrmse dc,15.670034816542739,2014,medoids,1
rae dc,12.504287741906474,2014,medoids,1
correlation,0.11181631026718013,2015,medoids,1
nrmse dc,16.960821970710835,2015,medoids,1
rae dc,18.116339440842992,2015,medoids,1
correlation,0.11466506711553322,2016,medoids,1
nrmse dc,16.123837354357253,2016,medoids,1
rae dc,16.804441277244575,2016,medoids,1
correlation,0.06789656086532277,2008,medoids,2
nrmse dc,5.652214555442929,2008,medoids,2
rae dc,3.738218412915101,2008,medoids,2
correlation,0.07325940433833618,2009,medoids,2
nrmse dc,6.334677854738639,2009,medoids,2
rae dc,4.278134506947503,2009,medoids,2
correlation,0.07607623077322685,2010,medoids,2
nrmse dc,6.508148588370436,2010,medoids,2
rae dc,10.160264236047992,2010,medoids,2
correlation,0.07162793653764583,2011,medoids,2
nrmse dc,7.518000367741069,2011,medoids,2
rae dc,6.824556866423734,2011,medoids,2
correlation,0.07361369728245704,2012,medoids,2
nrmse dc,7.1522917373629085,2012,medoids,2
rae dc,8.767570614155597,2012,medoids,2
correlation,0.07660361260817727,2013,medoids,2
nrmse dc,7.700351961087217,2013,medoids,2
rae dc,7.2797708935597045,2013,medoids,2
correlation,0.07735792979317795,2014,medoids,2
nrmse dc,9.591346559129292,2014,medoids,2
rae dc,10.985746529740616,2014,medoids,2
correlation,0.08601850390662025,2015,medoids,2
nrmse dc,10.985498197643437,2015,medoids,2
rae dc,16.303829356998374,2015,medoids,2
correlation,0.08886726075497335,2016,medoids,2
nrmse dc,11.058380809834816,2016,medoids,2
rae dc,17.57750745214126,2016,medoids,2
correlation,0.0093819466104648,2008,medoids,4
nrmse dc,2.948490378837364,2008,medoids,4
rae dc,2.942028370920859,2008,medoids,4
correlation,0.012262057666225198,2009,medoids,4
nrmse dc,4.024583995469218,2009,medoids,4
rae dc,5.106167204907737,2009,medoids,4
correlation,0.015078884101115872,2010,medoids,4
nrmse dc,4.98577821008998,2010,medoids,4
rae dc,11.406831928452744,2010,medoids,4
correlation,0.010630589865534853,2011,medoids,4
nrmse dc,5.260840217561111,2011,medoids,4
rae dc,6.262357966462935,2011,medoids,4
correlation,0.01261635061034605,2012,medoids,4
nrmse dc,5.1297269395064315,2012,medoids,4
rae dc,9.640620792663002,2012,medoids,4
correlation,0.015606265936066288,2013,medoids,4
nrmse dc,5.336334118321556,2013,medoids,4
rae dc,6.719286781488617,2013,medoids,4
correlation,0.016360583121066957,2014,medoids,4
nrmse dc,7.573075892307705,2014,medoids,4
rae dc,11.84610848857834,2014,medoids,4
correlation,0.02502115723450926,2015,medoids,4
nrmse dc,8.903541635524055,2015,medoids,4
rae dc,15.820324758680599,2015,medoids,4
correlation,0.027869914082862362,2016,medoids,4
nrmse dc,9.14230001012802,2016,medoids,4
rae dc,18.611970370657776,2016,medoids,4
correlation,0.01362596766523986,2008,medoids,8
nrmse dc,2.3568285083237037,2008,medoids,8
rae dc,4.610052883755781,2008,medoids,8
correlation,0.011500799916998225,2009,medoids,8
nrmse dc,3.4825515372447136,2009,medoids,8
rae dc,6.840825403354447,2009,medoids,8
correlation,0.0019431113360097358,2010,medoids,8
nrmse dc,4.736935283277643,2010,medoids,8
rae dc,12.167810511495981,2010,medoids,8
correlation,0.009327575392983456,2011,medoids,8
nrmse dc,4.446907296241541,2011,medoids,8
rae dc,7.392400924405884,2011,medoids,8
correlation,0.0071019189110428,2012,medoids,8
nrmse dc,4.931207745185509,2012,medoids,8
rae dc,11.443160865291256,2012,medoids,8
correlation,0.010402268869057226,2013,medoids,8
nrmse dc,4.573408429653529,2013,medoids,8
rae dc,8.027142532074416,2013,medoids,8
correlation,0.0036736917409843826,2014,medoids,8
nrmse dc,6.987652860708876,2014,medoids,8
rae dc,13.63475922727821,2014,medoids,8
correlation,0.016345386691776136,2015,medoids,8
nrmse dc,8.271591435086728,2015,medoids,8
rae dc,16.670704575397092,2015,medoids,8
correlation,0.015021621375917893,2016,medoids,8
nrmse dc,8.774335729640178,2016,medoids,8
rae dc,20.32098014330776,2016,medoids,8
correlation,0.004009311828841344,2008,medoids,16
nrmse dc,1.9636735479916296,2008,medoids,16
rae dc,3.5435562587456158,2008,medoids,16
correlation,0.008082797039681918,2009,medoids,16
nrmse dc,3.019300234165198,2009,medoids,16
rae dc,5.055949904655441,2009,medoids,16
correlation,0.010531518273180477,2010,medoids,16
nrmse dc,4.4195376210551,2010,medoids,16
rae dc,11.266034585407482,2010,medoids,16
correlation,0.005975339258145085,2011,medoids,16
nrmse dc,4.231328599700524,2011,medoids,16
rae dc,7.692966472093073,2011,medoids,16
correlation,0.007961100002956282,2012,medoids,16
