,Method,Metric,n_clusters,value
1817,,$REE_{av}$,8,6.753587266550491
1830,,$CE_{av}$,16,0.00470528183417529
1831,,$NRMSE_{av}$,16,2.951737327458868
1832,,$REE_{av}$,16,6.620223799576259
1845,,$CE_{av}$,32,0.0010703714052164488
1846,,$NRMSE_{av}$,32,2.99632160853016
1847,,$REE_{av}$,32,7.0228353700332224
1860,,$CE_{av}$,48,0.0035493578008687727
1861,,$NRMSE_{av}$,48,3.253423475041787
1862,,$REE_{av}$,48,7.542373333739074
1875,,$CE_{av}$,61,0.0022140878063782177
1876,,$NRMSE_{av}$,61,3.0101244673081347
1877,,$REE_{av}$,61,6.592866322380267
1890,,$CE_{av}$,2,0.06141071675694858
1891,,$NRMSE_{av}$,2,6.334608786620741
1892,,$REE_{av}$,2,6.376803515801015
1905,,$CE_{av}$,4,0.012932680971070254
1906,,$NRMSE_{av}$,4,3.896782433298822
1907,,$REE_{av}$,4,6.462178221916248
1920,,$CE_{av}$,8,0.006646896509321265
1921,,$NRMSE_{av}$,8,3.1689640764126885
1922,,$REE_{av}$,8,6.081422085594928
1935,,$CE_{av}$,16,0.0031657291092593853
1936,,$NRMSE_{av}$,16,2.985670033355351
1937,,$REE_{av}$,16,6.68585306272509
1950,,$CE_{av}$,32,0.003204594950080001
1951,,$NRMSE_{av}$,32,3.3657975581118635
1952,,$REE_{av}$,32,8.246365471992576
1965,,$CE_{av}$,48,0.005232593036382645
1966,,$NRMSE_{av}$,48,2.7839197054559577
1967,,$REE_{av}$,48,5.703380689204872
1980,,$CE_{av}$,61,0.004008468485799943
1981,,$NRMSE_{av}$,61,3.346603580437733
1982,,$REE_{av}$,61,7.919028310990178
1995,,$CE_{av}$,2,0.0614731502110828
1996,,$NRMSE_{av}$,2,6.3390153009426164
1997,,$REE_{av}$,2,6.302538645529885
2010,,$CE_{av}$,4,0.012094810583988204
2011,,$NRMSE_{av}$,4,3.8700286043374383
2012,,$REE_{av}$,4,6.704596955652312
2025,,$CE_{av}$,8,0.005719334125868558
2026,,$NRMSE_{av}$,8,3.3027342100356605
2027,,$REE_{av}$,8,6.706281666558634
2040,,$CE_{av}$,16,0.004843561569420303
2041,,$NRMSE_{av}$,16,3.049011555699838
2042,,$REE_{av}$,16,7.083268768987803
2055,,$CE_{av}$,32,0.003027427562629711
2056,,$NRMSE_{av}$,32,3.0861462109040416
2057,,$REE_{av}$,32,6.819749132696898
2070,,$CE_{av}$,48,0.005024259537574015
2071,,$NRMSE_{av}$,48,2.897906314118912
2072,,$REE_{av}$,48,6.217296272170643
2085,,$CE_{av}$,61,0.002707584354671481
2086,,$NRMSE_{av}$,61,3.5138792401726517
2087,,$REE_{av}$,61,8.660264054776574
2100,,$CE_{av}$,2,0.10045130027156224
2101,,$NRMSE_{av}$,2,18.513354842216266
2102,,$REE_{av}$,2,46.954386903821785
2115,,$CE_{av}$,4,0.05762412131219478
2116,,$NRMSE_{av}$,4,17.281091512766405
2117,,$REE_{av}$,4,46.54336651986639
2130,,$CE_{av}$,8,0.05699217513882353
2131,,$NRMSE_{av}$,8,20.02970406194964
2132,,$REE_{av}$,8,52.496639043224704
2145,,$CE_{av}$,16,0.0915075339983787
2146,,$NRMSE_{av}$,16,22.20728293154592
2147,,$REE_{av}$,16,57.614980699979846
2160,,$CE_{av}$,32,0.10749650331862523
2161,,$NRMSE_{av}$,32,18.83572510217047
2162,,$REE_{av}$,32,50.07623135188307
2175,,$CE_{av}$,48,0.1124053322985962
2176,,$NRMSE_{av}$,48,18.110331958087176
2177,,$REE_{av}$,48,45.84207194998546
