metric,value,year,method,n_clusters
correlation,0.016973754018209036,2013,medoids,4
nrmse dc,4.048244985134119,2013,medoids,4
rae dc,4.872328938771089,2013,medoids,4
correlation,0.0177280712032097,2014,medoids,4
nrmse dc,6.063952596617338,2014,medoids,4
rae dc,7.711594733278992,2014,medoids,4
correlation,0.02638864531665201,2015,medoids,4
nrmse dc,7.660991315137815,2015,medoids,4
rae dc,13.434474785916175,2015,medoids,4
correlation,0.02923740216500496,2016,medoids,4
nrmse dc,7.313154567464203,2016,medoids,4
rae dc,13.949973736892687,2016,medoids,4
correlation,0.0041360107040324294,2012,medoids,8
nrmse dc,3.418128419621292,2012,medoids,8
rae dc,7.435976819315338,2012,medoids,8
correlation,0.012071437868779178,2013,medoids,8
nrmse dc,3.4149858903636976,2013,medoids,8
rae dc,4.676633208450178,2013,medoids,8
correlation,0.007209352140100249,2014,medoids,8
nrmse dc,5.467333502791145,2014,medoids,8
rae dc,9.364411881789357,2014,medoids,8
correlation,0.021419534015403568,2015,medoids,8
nrmse dc,6.992904792480556,2015,medoids,8
rae dc,13.003851485634994,2015,medoids,8
correlation,0.020095768699545546,2016,medoids,8
nrmse dc,7.254858702249657,2016,medoids,8
rae dc,15.708905067048255,2016,medoids,8
correlation,0.00457049214597675,2012,medoids,16
nrmse dc,2.688254735559615,2012,medoids,16
rae dc,5.84987361272993,2012,medoids,16
correlation,0.010469887749675277,2013,medoids,16
nrmse dc,2.9496146974997988,2013,medoids,16
rae dc,5.56795697724898,2013,medoids,16
correlation,0.0038295517050603114,2014,medoids,16
nrmse dc,4.793043336463511,2014,medoids,16
rae dc,8.028874904979533,2014,medoids,16
correlation,0.019817983896299667,2015,medoids,16
nrmse dc,6.700861880111597,2015,medoids,16
rae dc,13.600932851595,2015,medoids,16
correlation,0.018494218580441646,2016,medoids,16
nrmse dc,6.422620104711786,2016,medoids,16
rae dc,13.979127685450813,2016,medoids,16
correlation,0.0008865855840261005,2012,medoids,32
nrmse dc,2.59348482885295,2012,medoids,32
rae dc,5.2492078604873535,2012,medoids,32
correlation,0.007719872786567754,2013,medoids,32
nrmse dc,3.217216446303075,2013,medoids,32
rae dc,6.146142594576652,2013,medoids,32
correlation,0.004630818094746969,2014,medoids,32
nrmse dc,5.132556159322334,2014,medoids,32
rae dc,8.30902433391584,2014,medoids,32
correlation,0.01706796893319214,2015,medoids,32
nrmse dc,7.139711552047676,2015,medoids,32
rae dc,14.717762640062736,2015,medoids,32
correlation,0.016140149056542225,2016,medoids,32
nrmse dc,6.438561115335695,2016,medoids,32
rae dc,13.566923136523016,2016,medoids,32
correlation,0.0025166785394880042,2012,medoids,48
nrmse dc,3.246601769934012,2012,medoids,48
rae dc,7.994434369466869,2012,medoids,48
correlation,0.009859205344291485,2013,medoids,48
nrmse dc,3.0172790246646897,2013,medoids,48
rae dc,4.8637020483117155,2013,medoids,48
correlation,0.006260911050208873,2014,medoids,48
nrmse dc,5.26783353687091,2014,medoids,48
rae dc,9.875176213569192,2014,medoids,48
correlation,0.019207301490915873,2015,medoids,48
nrmse dc,6.697233551922395,2015,medoids,48
rae dc,13.036408626702292,2015,medoids,48
correlation,0.017883536175057852,2016,medoids,48
nrmse dc,6.970920335169566,2016,medoids,48
rae dc,16.201957675274322,2016,medoids,48
correlation,0.004222888878768168,2012,medoids,61
nrmse dc,3.224954458047826,2012,medoids,61
rae dc,7.406398424444546,2012,medoids,61
correlation,0.005237928629912496,2013,medoids,61
nrmse dc,2.9550872456146693,2013,medoids,61
rae dc,5.334597870462091,2013,medoids,61
correlation,0.007651116048826623,2014,medoids,61
nrmse dc,5.356930877195609,2014,medoids,61
rae dc,10.404073286736544,2014,medoids,61
correlation,0.014586024776536885,2015,medoids,61
nrmse dc,6.7344966390484755,2015,medoids,61
rae dc,13.541290182505257,2015,medoids,61
correlation,0.016900175807902113,2016,medoids,61
nrmse dc,7.280297281163674,2016,medoids,61
rae dc,17.285572929376453,2016,medoids,61
correlation,0.08805761980687636,2012,medoids,2
nrmse dc,6.270367121879534,2012,medoids,2
rae dc,4.94349761437549,2012,medoids,2
correlation,0.09104753513259656,2013,medoids,2
nrmse dc,6.7737939174191935,2013,medoids,2
rae dc,5.547384369309817,2013,medoids,2
correlation,0.09180185231759723,2014,medoids,2
nrmse dc,8.439198158861844,2014,medoids,2
rae dc,8.002526081256685,2014,medoids,2
correlation,0.10046242643103953,2015,medoids,2
nrmse dc,9.92804180937617,2015,medoids,2
rae dc,13.697354355495598,2015,medoids,2
correlation,0.10331118327939248,2016,medoids,2
nrmse dc,9.82464415755472,2016,medoids,2
rae dc,13.012520952599877,2016,medoids,2
correlation,0.014148491272092537,2012,medoids,4
nrmse dc,3.6575991086197437,2012,medoids,4
rae dc,5.974111157437928,2012,medoids,4
correlation,0.01713840659781274,2013,medoids,4
nrmse dc,4.04282915115332,2013,medoids,4
rae dc,4.8061286865108475,2013,medoids,4
correlation,0.017892723782813407,2014,medoids,4
nrmse dc,6.070040231451788,2014,medoids,4
rae dc,7.886079141082256,2014,medoids,4
correlation,0.026553297896255712,2015,medoids,4
nrmse dc,7.646538002478377,2015,medoids,4
rae dc,13.384455066518028,2015,medoids,4
correlation,0.029402054744608663,2016,medoids,4
nrmse dc,7.349027313117439,2016,medoids,4
rae dc,14.137267869987454,2016,medoids,4
correlation,0.005819378694628304,2012,medoids,8
nrmse dc,3.360891496026568,2012,medoids,8
rae dc,7.060854434218911,2012,medoids,8
correlation,0.013754805859375052,2013,medoids,8
nrmse dc,3.5090989163103194,2013,medoids,8
rae dc,5.255703231389005,2013,medoids,8
correlation,0.007725194936080333,2014,medoids,8
nrmse dc,5.499446713219271,2014,medoids,8
rae dc,9.01090324584996,2014,medoids,8
correlation,0.023102902005999442,2015,medoids,8
nrmse dc,7.151887621825385,2015,medoids,8
rae dc,13.426998720397938,2015,medoids,8
correlation,0.02177913669014142,2016,medoids,8
nrmse dc,7.179385481906112,2016,medoids,8
rae dc,15.334734960487168,2016,medoids,8
correlation,0.0025468681070144328,2012,medoids,16
nrmse dc,2.8384914090106967,2012,medoids,16
rae dc,6.559656862397695,2012,medoids,16
correlation,0.008497735952941862,2013,medoids,16
nrmse dc,2.8285484822311076,2013,medoids,16
rae dc,4.842557129257573,2013,medoids,16
correlation,0.003198913422595299,2014,medoids,16
nrmse dc,4.84277958776104,2014,medoids,16
rae dc,8.446355947362399,2014,medoids,16
correlation,0.01784583209956625,2015,medoids,16
nrmse dc,6.56896594847271,2015,medoids,16
rae dc,12.922724829901084,2015,medoids,16
