,metric,value,num_days,method
585,correlation,0.008350077392943689,12,centroids
586,nrmse dc,1.7748747356912562,12,centroids
587,rae dc,3.4377855557746253,12,centroids
588,nrmse rdc,27.21424238008571,24,centroids
589,correlation,0.003586888539818811,24,centroids
590,nrmse dc,1.2640798983934332,24,centroids
591,rae dc,2.0493539541525583,24,centroids
592,nrmse rdc,27.07963742058624,48,centroids
593,correlation,0.007510047776134621,48,centroids
594,nrmse dc,1.5485078946362363,48,centroids
595,rae dc,3.2356404895639495,48,centroids
596,nrmse rdc,26.818076468376685,61,centroids
597,correlation,0.005272986160751225,61,centroids
598,nrmse dc,2.0662789032036817,61,centroids
599,rae dc,6.032947663504734,61,centroids
600,nrmse rdc,26.050657009746356,4,medoids
601,correlation,0.026446073410979598,4,medoids
602,nrmse dc,2.8130829486347793,4,medoids
603,rae dc,2.189659954218894,4,medoids
604,nrmse rdc,26.389266656587427,8,medoids
605,correlation,0.003289094099085066,8,medoids
606,nrmse dc,1.748873286260179,8,medoids
607,rae dc,2.0315944256611735,8,medoids
608,nrmse rdc,26.236486575918253,12,medoids
609,correlation,0.006217329677483563,12,medoids
610,nrmse dc,1.6618152847738106,12,medoids
611,rae dc,2.312919799834333,12,medoids
612,nrmse rdc,26.78268350023564,24,medoids
613,correlation,0.0030614830837968343,24,medoids
614,nrmse dc,1.2196917839000558,24,medoids
615,rae dc,1.90673981847043,24,medoids
616,nrmse rdc,26.335523860383145,48,medoids
